Source,Target,Type,Kind,Id,Label,Interval,Weight
442083142,1364298062919794688,Directed,,1,,,1.0
305255857,977383349235961857,Directed,,2,,,1.0
950098070771036160,1438546161955229703,Directed,,3,,,1.0
229160327,1364298062919794688,Directed,,4,,,1.0
229160327,1364298062919794688,Directed,,5,,,1.0
229160327,1364298062919794688,Directed,,6,,,1.0
1054851091,1364298062919794688,Directed,,7,,,1.0
3292300398,1364298062919794688,Directed,,8,,,1.0
1272523678140555274,1364298062919794688,Directed,,9,,,1.0
1435590896502849538,1364298062919794688,Directed,,10,,,1.0
1435590896502849538,1364298062919794688,Directed,,11,,,1.0
1430162268,95106953,Directed,,12,,,1.0
1396921468127170567,1136537422836244480,Directed,,13,,,1.0
1275154423,206832958,Directed,,14,,,1.0
1017975031,2322424306,Directed,,15,,,1.0
1435590896502849538,1364298062919794688,Directed,,16,,,1.0
1037003822,1364298062919794688,Directed,,17,,,1.0
1425830479006035970,1364298062919794688,Directed,,18,,,1.0
861524006519832576,945762882817613824,Directed,,19,,,1.0
2535751839,1136537422836244480,Directed,,20,,,1.0
1455070299813257218,942266220,Directed,,21,,,1.0
1063948830,1364298062919794688,Directed,,22,,,1.0
1369640371697942528,942266220,Directed,,23,,,1.0
1224287141947232256,1364298062919794688,Directed,,24,,,1.0
1392230741875040256,757521873743798272,Directed,,25,,,1.0
416346211,1364298062919794688,Directed,,26,,,1.0
1405888434917593098,1364298062919794688,Directed,,27,,,1.0
828376782407663617,1364298062919794688,Directed,,28,,,1.0
3252394091,1364298062919794688,Directed,,29,,,1.0
1168202277091516418,977383349235961857,Directed,,30,,,1.0
1416344428147585025,1364298062919794688,Directed,,31,,,1.0
1004766856434110464,942266220,Directed,,32,,,1.0
1349467232,1364298062919794688,Directed,,33,,,1.0
1225034977,1364298062919794688,Directed,,34,,,1.0
751180558936530944,2353382138,Directed,,35,,,1.0
847096890,1136537422836244480,Directed,,36,,,1.0
934809157055799299,1052894605,Directed,,37,,,1.0
2360365059,1364298062919794688,Directed,,38,,,1.0
2360365059,1364298062919794688,Directed,,39,,,1.0
2360365059,1364298062919794688,Directed,,40,,,1.0
2360365059,1364298062919794688,Directed,,41,,,1.0
2360365059,1364298062919794688,Directed,,42,,,1.0
2360365059,1364298062919794688,Directed,,43,,,1.0
1199127172990021633,1364298062919794688,Directed,,44,,,1.0
750752094840320001,1090989921454747648,Directed,,45,,,1.0
1429096741945716741,757521873743798272,Directed,,46,,,1.0
1223954414807011328,100812291,Directed,,47,,,1.0
82083043,1364298062919794688,Directed,,48,,,1.0
828376782407663617,1434532915417919488,Directed,,49,,,1.0
1300884946878427137,1364298062919794688,Directed,,50,,,1.0
508688015,757521873743798272,Directed,,51,,,1.0
1288876471583481862,1364298062919794688,Directed,,52,,,1.0
1364225080859926540,757521873743798272,Directed,,53,,,1.0
1036307375744016386,872076729535406080,Directed,,54,,,1.0
1463177545784848385,757521873743798272,Directed,,55,,,1.0
1297495287720706048,1364298062919794688,Directed,,56,,,1.0
896778150755139584,757521873743798272,Directed,,57,,,1.0
1036307375744016386,1475223019140354048,Directed,,58,,,1.0
1601926596,1364298062919794688,Directed,,59,,,1.0
792793865489117184,1364298062919794688,Directed,,60,,,1.0
249593744,1364298062919794688,Directed,,61,,,1.0
1296006171862667264,1364298062919794688,Directed,,62,,,1.0
1125143117856944130,1052894605,Directed,,63,,,1.0
85838534,977383349235961857,Directed,,64,,,1.0
1433304175249657856,1364298062919794688,Directed,,65,,,1.0
15178183,1364298062919794688,Directed,,66,,,1.0
1111915132102344706,1364298062919794688,Directed,,67,,,1.0
1410870161985388546,1413591361186672642,Directed,,68,,,1.0
1062862212,1364298062919794688,Directed,,69,,,1.0
1434786662681296896,1434532915417919488,Directed,,70,,,1.0
457693768,1364298062919794688,Directed,,71,,,1.0
503223395,1364298062919794688,Directed,,72,,,1.0
1424671436627709956,1364298062919794688,Directed,,73,,,1.0
1219284363684261888,428431567,Directed,,74,,,1.0
1249412358637666304,1364298062919794688,Directed,,75,,,1.0
1466803693,1364298062919794688,Directed,,76,,,1.0
2175971759,1364298062919794688,Directed,,77,,,1.0
1246917715941634062,1364298062919794688,Directed,,78,,,1.0
489331719,1364298062919794688,Directed,,79,,,1.0
489331719,1233740003047608322,Directed,,80,,,1.0
1322543941,1364298062919794688,Directed,,81,,,1.0
1433103620413788164,1366086962164154371,Directed,,82,,,1.0
1366508379812880387,3179223957,Directed,,83,,,1.0
892482377590636545,984895994755211265,Directed,,84,,,1.0
468497275,1364298062919794688,Directed,,85,,,1.0
1373354712460886020,1347929926910038025,Directed,,86,,,1.0
1433103620413788164,1366086962164154371,Directed,,87,,,1.0
1342223197131993088,803567193875169280,Directed,,88,,,1.0
1337596044,977383349235961857,Directed,,89,,,1.0
791939621630255104,1364298062919794688,Directed,,90,,,1.0
702614277472034818,1364298062919794688,Directed,,91,,,1.0
56548389,1402397995321147401,Directed,,92,,,1.0
568142347,977383349235961857,Directed,,93,,,1.0
1269882038439591943,1364298062919794688,Directed,,94,,,1.0
82083043,1364298062919794688,Directed,,95,,,1.0
1728224730,876095223864209409,Directed,,96,,,1.0
70624474,1364298062919794688,Directed,,97,,,1.0
1224287141947232256,456848255,Directed,,98,,,1.0
1006873192374382592,1364298062919794688,Directed,,99,,,1.0
132492502,945102892956086272,Directed,,100,,,1.0
1157781200,1364298062919794688,Directed,,101,,,1.0
1053632622465818624,710520401735057409,Directed,,102,,,1.0
1290192406797836290,1258867179191259140,Directed,,103,,,1.0
816987049,389988445,Directed,,104,,,1.0
1442488093131436042,2322424306,Directed,,105,,,1.0
1143393739,1364298062919794688,Directed,,106,,,1.0
892482377590636545,1364298062919794688,Directed,,107,,,1.0
1134540091983114240,1258867179191259140,Directed,,108,,,1.0
468521672,1364298062919794688,Directed,,109,,,1.0
2469167444,1364298062919794688,Directed,,110,,,1.0
1045558848,2322424306,Directed,,111,,,1.0
1035460693,1364298062919794688,Directed,,112,,,1.0
432637066,1366086962164154371,Directed,,113,,,1.0
432637066,1366086962164154371,Directed,,114,,,1.0
432637066,1366086962164154371,Directed,,115,,,1.0
1455293360051216385,1364298062919794688,Directed,,116,,,1.0
430544226,1364298062919794688,Directed,,117,,,1.0
1359101255373774852,523682869,Directed,,118,,,1.0
847888050239807489,1434532915417919488,Directed,,119,,,1.0
2240528067,523682869,Directed,,120,,,1.0
978197286076510208,1364298062919794688,Directed,,121,,,1.0
1439537158365323266,1364298062919794688,Directed,,122,,,1.0
2348635034,1052894605,Directed,,123,,,1.0
3252394091,523682869,Directed,,124,,,1.0
553736272,1364298062919794688,Directed,,125,,,1.0
1125778520720990208,1364298062919794688,Directed,,126,,,1.0
1166401156492464129,1364298062919794688,Directed,,127,,,1.0
1390653288136290307,1364298062919794688,Directed,,128,,,1.0
471995227,1310565298920136705,Directed,,129,,,1.0
1264187873923907584,1434532915417919488,Directed,,130,,,1.0
1498818084,1364298062919794688,Directed,,131,,,1.0
501783959,1364298062919794688,Directed,,132,,,1.0
387745397,1364298062919794688,Directed,,133,,,1.0
2327839710,1364298062919794688,Directed,,134,,,1.0
1262811458603225088,446380041,Directed,,135,,,1.0
943045818814169088,420931672,Directed,,136,,,1.0
1417045292667576323,1364298062919794688,Directed,,137,,,1.0
1262834658250838023,1364298062919794688,Directed,,138,,,1.0
1080786410980950017,1364298062919794688,Directed,,139,,,1.0
769740390,2322424306,Directed,,140,,,1.0
1126839683357585408,1364298062919794688,Directed,,141,,,1.0
482033828,1364298062919794688,Directed,,142,,,1.0
425365609,1364298062919794688,Directed,,143,,,1.0
1337734677340282885,1364298062919794688,Directed,,144,,,1.0
235712668,1364298062919794688,Directed,,145,,,1.0
145802194,1364298062919794688,Directed,,146,,,1.0
1459473555100475400,1364298062919794688,Directed,,147,,,1.0
22004738,1052894605,Directed,,148,,,1.0
1187380629085790208,1364298062919794688,Directed,,149,,,1.0
1218946952924213251,1364298062919794688,Directed,,150,,,1.0
1408365643490119680,1446432167513542673,Directed,,151,,,1.0
422152255,1364298062919794688,Directed,,152,,,1.0
194930568,2322424306,Directed,,153,,,1.0
1288901307093450752,1364298062919794688,Directed,,154,,,1.0
2577415332,1364298062919794688,Directed,,155,,,1.0
1418645210645549056,1364298062919794688,Directed,,156,,,1.0
1418645210645549056,1364298062919794688,Directed,,157,,,1.0
508688015,945102892956086272,Directed,,158,,,1.0
1436091919726170114,984895994755211265,Directed,,159,,,1.0
1173244890001678336,1364298062919794688,Directed,,160,,,1.0
1020380156194631680,564688749,Directed,,161,,,1.0
2312589291,1310565298920136705,Directed,,162,,,1.0
280451887,1364298062919794688,Directed,,163,,,1.0
370705320,1364298062919794688,Directed,,164,,,1.0
612356867,1364298062919794688,Directed,,165,,,1.0
1418645210645549056,1364298062919794688,Directed,,166,,,1.0
404946715,1364298062919794688,Directed,,167,,,1.0
1079458256949575680,945102892956086272,Directed,,168,,,1.0
1111179646538842112,1364298062919794688,Directed,,169,,,1.0
354778269,1364298062919794688,Directed,,170,,,1.0
38903873,1364298062919794688,Directed,,171,,,1.0
1085531312,1364298062919794688,Directed,,172,,,1.0
1197916593289859073,1364298062919794688,Directed,,173,,,1.0
447383139,1364298062919794688,Directed,,174,,,1.0
4853695089,1074085537089314817,Directed,,175,,,1.0
1585400108,872076729535406080,Directed,,176,,,1.0
1474256774190579714,1364298062919794688,Directed,,177,,,1.0
1208811826743521280,1438546161955229703,Directed,,178,,,1.0
437321566,1364298062919794688,Directed,,179,,,1.0
871143564947988483,1364298062919794688,Directed,,180,,,1.0
4549605137,1364298062919794688,Directed,,181,,,1.0
2876208495,1364298062919794688,Directed,,182,,,1.0
1442745694700326917,1364298062919794688,Directed,,183,,,1.0
1426639026824564737,1364298062919794688,Directed,,184,,,1.0
2773663610,1155459166380744709,Directed,,185,,,1.0
1430162268,1364298062919794688,Directed,,186,,,1.0
1158758131448590336,984895994755211265,Directed,,187,,,1.0
2397689598,1364298062919794688,Directed,,188,,,1.0
354778269,984895994755211265,Directed,,189,,,1.0
1459205005802708997,1364298062919794688,Directed,,190,,,1.0
1469591492993896450,1364298062919794688,Directed,,191,,,1.0
437321566,1364298062919794688,Directed,,192,,,1.0
1442745694700326917,1364298062919794688,Directed,,193,,,1.0
1459539183891107843,1364298062919794688,Directed,,194,,,1.0
872116496373338112,1364298062919794688,Directed,,195,,,1.0
1329936777105338373,1364298062919794688,Directed,,196,,,1.0
598772700,93369052,Directed,,197,,,1.0
4611000693,1364298062919794688,Directed,,198,,,1.0
1407948418836803585,1364298062919794688,Directed,,199,,,1.0
745351426117869568,1364298062919794688,Directed,,200,,,1.0
4220897650,1364298062919794688,Directed,,201,,,1.0
1205428460719620096,523682869,Directed,,202,,,1.0
283416650,1364298062919794688,Directed,,203,,,1.0
752155127054753793,1364298062919794688,Directed,,204,,,1.0
1389814780349853696,1364298062919794688,Directed,,205,,,1.0
1177756580,1364298062919794688,Directed,,206,,,1.0
1197549995832070147,1364298062919794688,Directed,,207,,,1.0
1407830436945014787,1364298062919794688,Directed,,208,,,1.0
978660801241403392,1364298062919794688,Directed,,209,,,1.0
328473338,1364298062919794688,Directed,,210,,,1.0
745351426117869568,1364298062919794688,Directed,,211,,,1.0
1382258084567998469,876095223864209409,Directed,,212,,,1.0
3363886649,1052894605,Directed,,213,,,1.0
1094718444837265408,1364298062919794688,Directed,,214,,,1.0
1434031533518622721,1432716427094540292,Directed,,215,,,1.0
1034446975,1364298062919794688,Directed,,216,,,1.0
1189193624958816256,1455843673795698689,Directed,,217,,,1.0
4645281629,1438546161955229703,Directed,,218,,,1.0
1377439021,1434532915417919488,Directed,,219,,,1.0
1450062950010691590,1438546161955229703,Directed,,220,,,1.0
446397123,1455484372556070923,Directed,,221,,,1.0
1363754714454757378,945102892956086272,Directed,,222,,,1.0
1427632842075475968,1434532915417919488,Directed,,223,,,1.0
1358441854098931716,1432716427094540292,Directed,,224,,,1.0
174643719,1448727801411026944,Directed,,225,,,1.0
993774130293067776,206832958,Directed,,226,,,1.0
1427632842075475968,1364298062919794688,Directed,,227,,,1.0
1410898242397691905,1364298062919794688,Directed,,228,,,1.0
3372869746,945102892956086272,Directed,,229,,,1.0
2711375137,25141258,Directed,,230,,,1.0
1468584911045283840,1363805346,Directed,,231,,,1.0
1111179646538842112,1364298062919794688,Directed,,232,,,1.0
1429231388394467332,1364298062919794688,Directed,,233,,,1.0
273897097,1364298062919794688,Directed,,234,,,1.0
470242115,1364298062919794688,Directed,,235,,,1.0
354778269,1364298062919794688,Directed,,236,,,1.0
229764451,1364298062919794688,Directed,,237,,,1.0
1470798619997573131,1460634559113043973,Directed,,238,,,1.0
1343937223947919360,1364298062919794688,Directed,,239,,,1.0
1279126399295651841,975616683611181057,Directed,,240,,,1.0
133167075,1118997350,Directed,,241,,,1.0
1279126399295651841,1364298062919794688,Directed,,242,,,1.0
1915578642,1364298062919794688,Directed,,243,,,1.0
141529750,523682869,Directed,,244,,,1.0
1279126399295651841,1364298062919794688,Directed,,245,,,1.0
1009031048762679296,1434532915417919488,Directed,,246,,,1.0
1334430294670254080,1364298062919794688,Directed,,247,,,1.0
1279126399295651841,1074085537089314817,Directed,,248,,,1.0
1169382144969465856,710520401735057409,Directed,,249,,,1.0
493833883,1364298062919794688,Directed,,250,,,1.0
1279126399295651841,1364298062919794688,Directed,,251,,,1.0
