,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,id,author_id,author,n_rt,text_complete,hashtags,colours_y,Id,Label,Colour,text_preprocessed,text_preprocessed_new,sentiment
0,0,0,0,0,0,0,0,1476028900312551426,2963478049,singerindubai,1,"Ho appena visto #DontLookUp incredibile che lo abbiano permesso:il personaggio filantropo ricorda B. Gates/Biden e i nuovi ricchi che spacciano le loro idee per scienza.Da vedere @NetflixIT SUBITO. Rispecchia lo stato attuale!
#vaccino #NoGreenPass #draghibugiardo @barbarab1974 https://t.co/YRTG5YHFPW",#NoGreenPass,0,2963478049.0,singerindubai,#fb1239,ho appena visto incredibile che lo abbiano permesso il personaggio filantropo ricorda b  gates biden e i nuovi ricchi che spacciano le loro idee per scienza da vedere subito  rispecchia lo stato attuale ,appena vistare incredibile permettere personaggio filantropo ricordare b gates biden nuovo ricco spacciare idea scienza vedere subito rispecchiare stato attuale,0.5574
1,1,1,1,1,1,1,1,1475926285365006345,1364298062919794688,Lorenzo62752880,106,"Anche il sindaco di Verona positivo nonostante vaccino. 

Le discriminazioni e le sospensioni dal lavoro sono sempre più senza fondamento. Il green pass misura da rimuovere. 

#NoGreenPass",#NoGreenPass,0,1.3642980629197947e+18,Lorenzo62752880,#fb1239,anche il sindaco di verona positivo nonostante vaccino  le discriminazioni e le sospensioni dal lavoro sono sempre più senza fondamento  il green pass misura da rimuovere ,sindaco verona positivo nonostante vaccinare discriminazione sospensione lavoro sempre senza fondamento green pass misurare rimuovere,-0.6124
2,2,2,2,2,2,2,2,1476117524446130180,1296390431190679553,1nessuno100mil2,1,"In Italia si respira una tensione enorme,  i non vaccinati stanno subendo un #apartheid violento e criminale mentre l'economia e turismo sono allo sbando.
La sola idea di continuare a fare pressione sulle persone è una follia politica. 
#NoGreenPass 
@LegaSalvini @Mov5Stelle",#NoGreenPass,0,1.2963904311906796e+18,1nessuno100mil2,#99cccc,in italia si respira una tensione enorme  i non vaccinati stanno subendo un violento e criminale mentre l economia e turismo sono allo sbando  la sola idea di continuare a fare pressione sulle persone è una follia politica ,italia respirare tensione enorme vaccinare subire violento criminale mentre economia turismo sbando solo idea continuare fare pressione persona follia politico,-0.9712
3,3,3,3,3,3,3,3,1475960153648291841,1238800491632607232,gianluca826,60,Bassano del Grappa non si ferma. Resistenza domani 29/12/21 ore 20 Stazione dei Treni #NoGreenPass https://t.co/4D1oeAEJUZ,#NoGreenPass,0,1.2388004916326072e+18,gianluca826,#99cccc,bassano del grappa non si ferma  resistenza domani 29 12 21 ore 20 stazione dei treni,bassano grappa fermare resistenza domani 29 12 21 ora 20 stazione treno,0.7838
4,4,4,4,4,4,4,4,1476095815525584896,1453282570582568960,IlDisilluso,19,"""Sono stati riportati più effetti avversi per i vaccini covid che per tutti gli altri vaccini messi insieme nel corso di 10 anni"". La chiamano scienza, ma qui gli obiettivi sono guadagnare e uccidere, non di certo proteggere.
Per favore rifiutate la #terzadose
#nogreenpass https://t.co/I3s2B3EPL6",#NoGreenPass,0,1.453282570582569e+18,IlDisilluso,#fb1239, sono stati riportati più effetti avversi per i vaccini covid che per tutti gli altri vaccini messi insieme nel corso di 10 anni   la chiamano scienza  ma qui gli obiettivi sono guadagnare e uccidere  non di certo proteggere  per favore rifiutate la,stare riportare effetto avversi vaccino covid altro vaccino mettere insieme corso 10 anno chiamare scienza qui obiettivo guadagnare uccidere certo proteggere favore rifiutato,-0.8437
5,5,5,5,5,5,5,5,1475790406004662276,1364298062919794688,Lorenzo62752880,294,"Sindaco Forte dei Marmi positivo con terza dose.

Sindaco Valsamoggia positivo con terza dose.

Ex deputato Di Battista positivo dopo con terza dose.

Il pass vaccinale servirebbe a evitare che circolino i positivi?

#NoGreenPass",#NoGreenPass,0,1.3642980629197947e+18,Lorenzo62752880,#fb1239,sindaco forte dei marmi positivo con terza dose  sindaco valsamoggia positivo con terza dose  ex deputato di battista positivo dopo con terza dose  il pass vaccinale servirebbe a evitare che circolino i positivi ,sindaco forte marmo positivo terzo dose sindaco valsamoggia positivo terzo dose ex deputato battista positivo dopo terzo dose pass vaccinale servire evitare circolino positivo,-0.9325
6,6,6,6,6,6,6,6,1476111379539148801,757521873743798272,SStef_III,2,"Quindi, i signori al governo vogliono spingervi a credere che i cosiddetti no-vax siano la causa dell’impennata di contagi, questo per coprire i loro fallimenti e l’assoluta inefficacia dei vaccini covid.
Se li lasciate fare ancora per molto non andrà a finire bene!
#NoGreenPass",#NoGreenPass,0,7.575218737437983e+17,SStef_III,#fb1239,quindi  i signori al governo vogliono spingervi a credere che i cosiddetti no vax siano la causa dell impennata di contagi  questo per coprire i loro fallimenti e l assoluta inefficacia dei vaccini covid  se li lasciate fare ancora per molto non andrà a finire bene ,quindi signore governo volere spingervi credere cosiddetto no vax causa impennata contagiare coprire fallimento assoluto inefficacia vaccini covid lasciare fare ancora molto andare finire bene,-0.8959999999999999
7,7,7,7,7,7,7,7,1475974427342946311,1383698470389706753,Chr12tian,10,"Non si fidano di un tampone negativo di un #novax e lo tacciano di essere un untore, perchè non vaccinato.

Per poi passare il Natale in 100km di fila, per fare i #tamponi dei quali non si fidano.

E pretendere l'#obbligovaccinale.

I migliori sono molto confusi.

#NoGreenPass",#NoGreenPass,0,1.3836984703897068e+18,Chr12tian,#fb1239,non si fidano di un tampone negativo di un e lo tacciano di essere un untore  perchè non vaccinato  per poi passare il natale in 100km di fila  per fare i dei quali non si fidano  e pretendere l  obbligovaccinale  i migliori sono molto confusi ,fidare tampone negativo tacere essere untore perchè vaccinare poi passare natale 100 km filo fare quale fidare pretendere obbligovaccinale migliore molto confuso,-0.9627
8,8,8,8,8,8,8,8,1475916113187938308,1364298062919794688,Lorenzo62752880,71,"Brunetta dice di aspirare al green pass rafforzato su tutti i posti di lavoro... o puntura ogni 5 o 6 mesi o niente stipendio. 

Ormai FI peggio del partito comunista cinese, ce ne ricorderemo alle elezioni.

#NoGreenPass",#NoGreenPass,0,1.3642980629197947e+18,Lorenzo62752880,#fb1239,brunetta dice di aspirare al green pass rafforzato su tutti i posti di lavoro    o puntura ogni 5 o 6 mesi o niente stipendio  ormai fi peggio del partito comunista cinese  ce ne ricorderemo alle elezioni ,brunetta dire aspirare green pass rafforzato posto lavoro puntura ogni 5 6 mese niente stipendio ormai fi peggio partire comunista cinese ce ricordare elezione,-0.5574
9,9,9,9,9,9,9,9,1475918645557698561,1447476230517927936,Aurora88969659,4,"Ogni cosa che scrivo c’è sempre il coglione di turno che mi dice “ehh voglio le fonti!1!1! Racconti cazzate!1!1!” 
Poi però quando gli porti articoli, studi, fonti ecc. non commentano mai 😂

#NoGreenPass #VACCINATI(col cazzo)",#NoGreenPass,0,1.447476230517928e+18,Aurora88969659,#fb1239,ogni cosa che scrivo c è sempre il coglione di turno che mi dice  ehh voglio le fonti 1 1  racconti cazzate 1 1   poi però quando gli porti articoli  studi  fonti ecc  non commentano mai   cazzo ,ogni cosa scrivere sempre coglione turno dire ehh volere fonte 1 1 racconto cazzata 1 1 poi però quando portare articolo studio fonte ecc commentare mai cazzo,-0.9319
