,date,id,author_id,text,like,n_rt,author,colours
0,2021-12-28 14:00:26+00:00,1475828992393588740,1173223843,"Il premier belga riconosce che combattere la pandemia coi vaccini non basta ed ha ammesso lo sbaglio.
Quando il #MacellaioDellaTroika ammettera' lo stesso sbaglio dopo aver mentito agli italiani piu' e piu' volte?
#Norimberga2 
#NoGreenPass https://t.co/aDUAbxQ1rG",18,18,BiwiMobu,#aaaacc
1,2021-12-28 12:26:02+00:00,1475805238477078533,1364298062919794688,"I giornali di regime insistono con propaganda demenziale. 

I casi sono in calo in TUTTI i Paesi dell'Est Europa, ma il calo  in Germania è merito del lockdown (inesistente) dei no vax.

Giornalismo imbarazzante.

#NoGreenPass",343,92,Lorenzo62752880,#aaaacc
2,2021-12-28 15:50:31+00:00,1475856699651153929,2380463039,Farmacista: da stamattina 8 positivi di cui 7 benedetti. I vaccinati si contagiano più dei non vaccinati. Questo ormai è palese e assodato. #NoGreenPass #ObbligoVaccinale #tamponi,11,4,cris_tian76,#aaaacc
3,2021-12-28 15:09:14+00:00,1475846310213435400,1238800491632607232,"I #PortualiDiTrieste lasciano il Presidio di #Napoli davanti alla Rai con questo messaggio Amore Libertà e #NoGreenPass
Vittorio lascia per ultimo il presidio e lo dichiara concluso.
Ovviamente #LaGenteComeNoiNonMollaMai riparte in nave per raggiungere un altro porto... https://t.co/F6tWdryupx",13,10,gianluca826,#aaaacc
4,2021-12-28 14:00:26+00:00,1475828992393588740,1173223843,"Il premier belga riconosce che combattere la pandemia coi vaccini non basta ed ha ammesso lo sbaglio.
Quando il #MacellaioDellaTroika ammettera' lo stesso sbaglio dopo aver mentito agli italiani piu' e piu' volte?
#Norimberga2 
#NoGreenPass https://t.co/aDUAbxQ1rG",18,18,BiwiMobu,#aaaacc
5,2021-12-28 12:26:02+00:00,1475805238477078533,1364298062919794688,"I giornali di regime insistono con propaganda demenziale. 

I casi sono in calo in TUTTI i Paesi dell'Est Europa, ma il calo  in Germania è merito del lockdown (inesistente) dei no vax.

Giornalismo imbarazzante.

#NoGreenPass",343,92,Lorenzo62752880,#aaaacc
6,2021-12-28 11:27:06+00:00,1475790406004662276,1364298062919794688,"Sindaco Forte dei Marmi positivo con terza dose.

Sindaco Valsamoggia positivo con terza dose.

Ex deputato Di Battista positivo dopo con terza dose.

Il pass vaccinale servirebbe a evitare che circolino i positivi?

#NoGreenPass",532,185,Lorenzo62752880,#aaaacc
7,2021-12-28 11:27:06+00:00,1475790406004662276,1364298062919794688,"Sindaco Forte dei Marmi positivo con terza dose.

Sindaco Valsamoggia positivo con terza dose.

Ex deputato Di Battista positivo dopo con terza dose.

Il pass vaccinale servirebbe a evitare che circolino i positivi?

#NoGreenPass",532,185,Lorenzo62752880,#aaaacc
8,2021-12-28 12:26:02+00:00,1475805238477078533,1364298062919794688,"I giornali di regime insistono con propaganda demenziale. 

I casi sono in calo in TUTTI i Paesi dell'Est Europa, ma il calo  in Germania è merito del lockdown (inesistente) dei no vax.

Giornalismo imbarazzante.

#NoGreenPass",343,92,Lorenzo62752880,#aaaacc
9,2021-12-28 12:39:01+00:00,1475808506653593602,1238800491632607232,"IL 6 GENNAIO 2022 AVRÀ LUOGO LA ""MARCIA DELLE LIBERTÀ""
 (a piedi) PROMOSSA DAL MAGISTRATO PROF. PAOLO SCEUSA.* 

 *DETTAGLI* :
Si partirà alle ore 7.30 dal Piazzale Stazione di Venezia 

 *Link
https://t.co/FVnAOgf1NI
#NoGreenPass",18,16,gianluca826,#aaaacc
10,2021-12-27 11:36:00+00:00,1475430257624764419,1364298062919794688,"Ricciardi annuncia quarta dose tra maggio e giugno!

Quindi a breve anche con 3 dosi non si potrà più fare nulla senza la 4?

Quanto si pensa di andare avanti così?

#NoGreenPass",883,280,Lorenzo62752880,#aaaacc
11,2021-12-28 12:26:02+00:00,1475805238477078533,1364298062919794688,"I giornali di regime insistono con propaganda demenziale. 

I casi sono in calo in TUTTI i Paesi dell'Est Europa, ma il calo  in Germania è merito del lockdown (inesistente) dei no vax.

Giornalismo imbarazzante.

#NoGreenPass",343,92,Lorenzo62752880,#aaaacc
12,2021-12-27 11:36:00+00:00,1475430257624764419,1364298062919794688,"Ricciardi annuncia quarta dose tra maggio e giugno!

Quindi a breve anche con 3 dosi non si potrà più fare nulla senza la 4?

Quanto si pensa di andare avanti così?

#NoGreenPass",883,280,Lorenzo62752880,#aaaacc
13,2021-12-28 14:00:26+00:00,1475828992393588740,1173223843,"Il premier belga riconosce che combattere la pandemia coi vaccini non basta ed ha ammesso lo sbaglio.
Quando il #MacellaioDellaTroika ammettera' lo stesso sbaglio dopo aver mentito agli italiani piu' e piu' volte?
#Norimberga2 
#NoGreenPass https://t.co/aDUAbxQ1rG",18,18,BiwiMobu,#aaaacc
